,answer,keywords
4665,bruno mars,singer Locked Heaven Unorthodox Jukebox planetary people stage Super hip-hop team Billionaire Travie Peter Hernandez Billy Joel Giving Uptown Funk Saturday Bowl Hooligans Shopping Paris Smeezingtons Levine Philip Lawrence century world all-time headlined karat hitmakers McCoy music today chose partly
637,brussels,capital Belgian world city european Fair Flemish Place NATO Paris Brussels sprout university April Ensor Christ Napoleon King Baudouin Entry Senne Charlotte Villette French Leopold Rome London mile northernmost waterloo free atomium Bronte college getty opened based experience painting airport
4656,brussels sprouts,Belgium Cabbage vegetable fruit miniature grow single family food head green veggie member sprout Bruxelles Brabanconne Europe century year date cousin hail tiny fact tall develop stem joint italian menu cavolo relative plant garnish made sprang rich delicious flavor mild
1251,brutus,Caesar Julius Antony Cassius Roman shakespeare assassin loved Mark Philippi noblest killed good made character bard thee half weep ambitious slew stab Denzel middle hand Cato Younger Servilia John Wilkes Booth Farewell Cisalpine Gaul Washington people half-brother ancient conspirator notorious
2813,buchanan,president state Weak Jefferson Davis United Administration Rebellion secretary john bachelor Lincoln published ailment muscle crossed eye walk habitual tilt head left wrote defense harriet fremont pres office hail chief served leaving happy great vice Carolina Union Lane Lady Conservative
1388,bucharest,capital Romanian city Vlad Impaler Ceausescu world Nicolae palace Paris built hostel european Walachia Bucharest Parliament document eastern Butcher named potpourri March Vlaicu Legend Balkans Dambovita Dracula Snagov North Korea Helsinki Moscow Pentagon United Principalities Moldavia Hungary Funky Chicken Butterfly
4660,buck,Call Wild London Jack Owens Nickname literature american rabbit Gerard Capt William Rogers John Thornton Alvis Edgar Haw Judge Miller Cheap Scotch Alaska Stubbornly verb horse throw bronco start sell money character futuristic featured exploit sledge master musician pickin gardener
1433,buckingham palace,london Queen residence royal elizabeth palace Victoria John Nash Albert Marble official room landmark british Arch England Prince West Hilton Hall Blue White Drawing Windsor Edward Thomas Brock Telephone Mother East building front reigned birthday century year friend problem word
3123,buckminster fuller,dome geodesic inventor Expo Jan. architect designed Time Union Tank Company Baton Rouge Louisiana pavilion dymaxion American engineer cover head founded mensa magazine drawn buck stop diary Khrushchev Mountain College Armour Dearborn Michigan WWII Board Economic Warfare United States Montreal
551,budapest,capital Magyar city Hungarian Hotel world european Stephen Danube Nemzeti Muzeum Franz music Vienna Baroque Korut Boulevard jeopardy Soviet travel bridge suite palace Liszt Opening River Queen National Gallery Academy Millennium Monument Conquest Linked Diners Hilton Chain Game Aranymokus Kertvendeglo
374,buddha,religion leader Enlightened Siddhartha nepal India founder world Sanskrit figure Prince Gautama born title Noble suffering century holiday Japan china statue Lumbini Vishnu Reach Truths ancient teaching existence image observance biography incarnation tree Well-known Shwe Dagon Pagoda Leshan Kandy Lanka
194,buddhism,religion India Theravada form japan Mahayana Thailand century monk Korea china Noble Asian branch Practiced path mongolia Truths Tibet bhutan introduced major stupa Eightfold King Asoka Lanka Borobudur suffering Eastern nirvana Burma emperor year temple dominant world sacred school life
2884,buddy holly,Day Gary Busey Lubbock Texas rock Iowa Crickets Maria Elena Records played roll legend music Needing Elvis Surf Ballroom Clear Lake Charles Mason City Capitol film singer fame widow song flight holly-wood groundhog paid guitar native birthday heaven time laundry
3100,budweiser,beer King american frog Sports Super Mary Love Dale Earnhardt Illustrated Swimsuit Issue Bowl brand sponsor commercial Clydesdales Adolphus Busch business bottle company fermented ave industry biggest selling guy call McHugh promote feature lizard croak Anheuser-Busch introduced pasteurized nascar official
550,buenos aires,South American capital city Argentine world Luis Jorge Spanish people Port Good Fair jewish Plata Mary named Winds Peron Portenos Washington Mendoza Evita Stand Recoleta Casa Rosada Pink House Sheraton Hotel Towers Virgin Atlantic Eichmann Chacra European saint resident Sailors
272,buffalo,city York state animal Erie Bison Lake fillmore Indians American Good Roosevelt Cibola Plains home President Niagara team Grover Street jane song Cleveland nickel millard play people Sabres McKinley Mamet native seal Mint Cities Part Falls Bull Moose Theodore Métis
4059,buffalo bill cody,west wild show Platte North Nebraska Scout Buntline Ranch horse Borgia Madison Europe July historical buffalo play park famous bill museum Brigham Arthur Kopit Indians Charles Durning Stacy Keach Exhibits Omaha Appropriately Cody Wyoming Army Pony Express Lucrezia Square Garden
1344,buffy the vampire slayer,Michelle Sarah show Spike Gellar angel Sunnydale Swanson vampire Kristy James Marsters episode series Alyson Hannigan High Hellmouth title Drusilla Giles Principal star classic Watcher Guide School girl film evil character spin-off screen brew eaten student song Children Bestiary Choice-loving
2556,bugs bunny,Hare Parking cartoon Blanc rabbit stamp appeared Daffy Avery Hunt character Devil Roman Legion Brooklyn Bronx Porky Network Dole Duck Looney Tunes Britannica Wild parade show voice popular chorus year featured bunny prototype list commemorative late quote pun macy created
4176,bugsy siegel,June Flamingo Beverly Hills gangster Hilton Meyer Gang killed vega Virginia Hotel original girlfriend notorious anniversary mobster charming fiery-tempered casino builder appeared chip celebrating tinseltown tragedy gunned Incorporated Feb. Bugsy Annette Bening Lansky Brooklyn Benjamin wild film happy eesh love
4979,bulbs,seed tulip grown flower gardening plant corm Lilies Onions Gladioli Knowing Holding Dutch Crocuses Bigger daffodil bloom fall store winter hyacinth botany year cool resemble structure leaf iris make light head globular underground bud narcissus early listen people seller told
1259,bulgaria,Sofia Balkan country Bulgaria Boris Bolivia Bahamas Todor Zhivkov Black world national park romania capital border European year November Muslim Ottomans Communists major Christianity Czar King Hitler Varna Burgas Vitosha Danube Botswana Rhodope Mountains WWII Peninsula Russia geography city eastern
4518,bull,August Manolete Lane Ancient Cretan Rock Frost bell animal papal horn famous fought called threw rode letter word time encyclical decree double bass type fiddle wave gymnastics performer charging grab flip guinness record bucking creature part nickname Minotaur Botaurus William
3939,bull run,battle civil Manassas July August Virginia general creek Beauregard Jackson Stonewall Washingtonians bull Southerners Gen. Thomas stream site mile Union nickname arlington refer call received occurred made victory stand blue gray packed picnic lunch headed watch load geography american year
2292,bullfighting,Sport Death Hemingway mexico Afternoon event Francisco veronica Spain Madrid subject Visigoths toros juan popular travel film cape movement called considered spectacle China Romero Rabbi Ovadya Yosef Jews Zhejiang Province Gleason Blood Sand Tyrone Power City Tauromachy Dangerous Summer Lisbon
5139,bulls,Spain Fiesta Fermin animal Pamplona holiday observance minor league Salamanca Nickname Durham North Carolina street male called team international festival running movie daily taurophobia driven specially bred participate adult yak baseball real life start Pope Unlike Pius Giraffes Hemingway Rises
2507,bunker hill,June American hill battle Breed Lafayette revolution British white fire Israel Putnam Marquis monument Charlestown Boston Massachusetts eye trail ammunition john laid cornerstone wounded history save killed Patriot France Peninsula William Prescott Mass General Overconfident Gen. Howe anniversary date year
867,burger king,food whopper fast chain chicken Croissan'wich Double Triple burger King calorie nation Cheese Ready Flame Fish home menu company Miami Herb Single fry slogan deal told fast-food Ayer Agency Labor Save Broiler Rainforest Cafe Angus Steak Dutch Fire-grilled Shrimp Garden
3637,burgundy,France region wine Dijon colorful historic geography potent famous potable largest city share wine-growing Philip duchy called area Bourgogne Champagne John Fearless Good Chablis Anchorman Cote Middle Switzerland capital make grape world kingdom county province reddish-brown southeast waiter pouilly-fuisse lovely
2393,burma,country Asian Aung Myanmar Union world prize capital July Westernmost Japan India Rangoon River Gen. peace independence nobel leader year captured bordering lie politics power stepped winner Mandalay changed history nation June Chinese Kumning Yunnan Province Lashio Louis Mountbatten Birman
1957,burt reynolds,Loni Longest Yard Evening Shade Anderson Dinah Florida Dectective Loved Dancing played August Sharky star Sally Field Actor Lieutenant Smokey Bandit Hawk georgian Deliverance Norm movie emmy trivia Semi-Tough baby celebrity jeopardy Iroquois captained machine western football famous couple adopted
4078,burundi,Rwanda Bujumbura african Lake Tanganyika country Rundi capital April Belgium Habyarimana Ntaryamira Thailand Thai president home nation language small stupid geography granted independence renamed Rwanda-Urundi split file history died crash learned northeast neighboring ruled border speaker River Armenia Maryland-sized Originally
4166,bush,January Republican Sen Australia Dick Cheney Connecticut small person place family president delegate vice choice George shrub word Rep child announced congress clump hung today outback powerful secretary defense cluster appearing single election tavern lincoln Texas washington bush bandit Lost
3932,business,America British coolidge Newspaper Calvin business Watch Jeopardy Junior Achievement Angeles Editors Guildhall section group girl people succeed Times Churchill animal speaks quote speech maxim usual COBOL School language find ferret scouting event subject earn badge lemonade stand cover money
4625,butch cassidy & the sundance kid,Harry Leroy Parker Robert Place Etta pair outlaw William Katt Berenger Longbaugh Argentina Newman Redford movie west wild title notorious Schneider Pinkerton February Paul Bunch Aliases Dressed Vicente Bolivia Video South America James Ryan Chubut Province Walt Punteney nickname badly
2592,butch cassidy and the sundance kid,Fallin Raindrops Bolivia Head newman Robert Redford Paul movie song someplace Butch William Goldman quote oscar-winning western oscar dynamite film time Wild character Newman-Redford outlaw Elliot Katharine Ross Harvey Logan David Ward Vicente featured debut played quiz hurt classic pair
561,butter,dairy food product Beurre French greek spread cooking made fact clarified Botter form drink Meuniere Betty back India Spanish Iowa milk word State water sauce flour dish American oleo benin melt term mouth bought solid called composed margarine innocent substance
1854,butterflies,insect Lepidoptera order endangered specie type swallowtail blue Zuni Paiyatemu lady played queasy feeling moth list animal kachina common hairstreak plant include make bug collection nervous Quino Skipper Added Checkerspot Laguna Mountains Tiger Queen Alexandra Prints Papilionoidea Xerces Francisco Sunset
1217,butterfly,insect swallowtail type animal monarch race Schaus Florida French specie beautiful official stroke word wing state papillon Tiger Zebra Viceroy Moth delaware german refuge Crocodile swimming medley shaped cooking social genus comma talk Wordsworth Designated Thelma Queen Alexandria Venezuela Caligo
2957,buzz aldrin,moon Armstrong space Edwin Club walk magnificent desolation book wrote mother rendezvous nickname astronaut blue combat Apollo July Ryan Dancing Korea Nixon Return Earth Born Seacrest Collins Stars Homer Simpson Careful Explorers Neil President popular title memoir solve year pilot
4360,bye bye birdie,Conrad Birdie musical rock happy star Back Face Hugo Peabody Bring broadway love show apple remake Dec. Marc Ohio teen film played sequel teenager debut song fan Jesse Pearson Bobby Rydell Michael Pollard Kudisch Dick Dyke Alexander Gray Kids Sweet
2421,byron,lord English poet romantic British Childe Harold Greece John Juan Lady rome scott virgil love opera Hellespont Juilliard Richard Chamberlain Caroline Lamb Prisoner Francois Bonnivard Keats Shelley Byron Travel Robert Road Oxiana Jack Cambridge Hobhouse Lara Abydos Waverley Stanzas Thomson
748,c,letter perfect music Latin note Roman sharp word flat sound light numeral vitamin speed language abbreviation treble clef slang House alphabet make precedes Single-letter Toyota Strawberries Developed Unix French Linus Pauling Ascorbic Spanish English buck vacuum point science scurvy system
1106,c.s. lewis,Narnia author Letters Screwtape book lion child wrote Tolkien Chronicles sci-fi literary Clive Staples Aslan John Kennedy Lord Rings Lewis Horse Boy trilogy Wardrobe Silent Planet Witch year Shadowlands Christianity called religious creator memoir completed taking tiger wondrous british died
1227,cabaret,musical Club Bowles Berlin Sally Oscar Liza Minnelli broadway film Picture Fosse Wilkommen theatre song beautiful Director Camera london Stories revival Godfather Joel title type show room York Expo Natasha Richardson Bare Act Latin Clifford Bradshaw Herr Schultz Tonys Grey
943,cabbage,vegetable fruit slaw type food cole savoy head make leaf sauerkraut ingredient Brussels Katie Germans main stuffed veggie produce coleslaw traditionally cauliflower drink sprout world mashed potato french call green variety form shredded original week choy dish soup Europena Dwarf
2718,cactus,plant type desert pear prickly nature organ pipe barrel specie botany tree named succulent hedgehog fishhook pincushion curved state bird study cholla mouth life Southwestern Strawberry Indians Christmas Easter Peyote March Phoenix Arizona Make Common Phonograph Americans variety teddy holiday
2038,cadillac,Detroit Michigan founded company luxury French henry maker Cimarron Costing Allante Johnny August Natalie Standard Escalade city Sevilles Eldorados Cash Coupe Bruce Springsteen Catera World River Manhattan Antoine Colonial built song early explorer auto small tail baby named automobile car
3917,caesars palace,Vegas Caligula casino Knievel hotel Forum viva Suite Caesars Fantasy Motorcycle Emperors Complex Magical Empire Roman Egyptian Pompeian Roman-themed shopping Cleopatra Barge Appian cher shop fountain Colosseum travel love subterranean dining experience famed feature decor hotel-casino plaza coming recently doubled
1305,caffeine,coffee stimulant found Pepsi Coke Swiss American break cola water leaf consumed shower science drink Jolt Introduced time process Sanka Emil Fischer Cacao Sadly West Shock alkaloid ingredient called free popular remove bitter source chocolate substance stay black xanthine potpourri
814,cain,genesis Bible Lord brother mark Adam murderer testament finding kill biblical Abel asked keeper Eden greater punishment bear Comparing Phoenician Hebrew Lucifer Richard Harris David Cross rejected ancient people character james vengeance slayeth sevenfold born voice fugitive crime lie thee
212,cairo,city Egyptian capital Nile world African Hilton Coptic Ramses Island hotel Roda Giza Arabic Museum north Mahfouz University mummy Naguib Ancient Tahrir Square River victorious center Qahira Gezira Sphinx Shepheard Alexander Mosque Cairo include largest Sadat League Illinois Anwar population
2663,calamity jane,Wild Bill Jane Hickok west Martha Deadwood canary Dakota Doris Calamity South woman Expletive Girls death buried nickname gingham played film life parent dressed original deleted Aug. frontierswoman potpourri born hard-drinking Rumored Custer Buffalo Anjelica Huston Badlands Richard Salt Lake
558,calcium,element bone mineral teeth found body milk essential Latin abundant Earth bone-building human Atomic Water Silver-white Bread Sales Metallic blood level lime nutrition Ounce make strong word chemical phosphate carbonate increased chalk gypsum gland milligram parathyroid regulate school crust number
2428,calculus,branch math Leibniz newton Latin isaac invented teeth word Gottfried hard tartar change integral differential problem meaning give type yellowish found mathematical matter solve quantity vary related determine engaged protracted argument independently book field stone teacher idea Easy Developed Made
1274,calcutta,India city British Bengal capital East Company black hole West world asian England Trading Nawab born Mother Teresa founded largest film government geography state Robert fort John Church Clive center named made famous Luckily Dhavan Ladd Sutanati Govindapur Kalikata Calcutta
1408,calgary,Alberta city Canadian stampede Olympics Winter Flames rodeo named Atlanta football Rockies Mounties July Brian hosted League Founded Scotland Saddledome American Kids Britches High River home ticket largest North play held sport event World million skating opened tourist outdoor ancestral
5,california,state Valley park national Union county Golden Nevada college River university Monterey area point native coast Sierra Sept. tree Sonoma home geography highest Bear john largest named Western city american love Compromise Sacramento history Whitney Yosemite Santa Flag place people
845,caligula,Roman emperor boot Caesar Gaius Horse nicknamed Tiberius history Reigning Alexander 37-41 Praetorian cruel Drusilla Incitatus guard consul favorite insane declared Chaerea unbalanced Nemi Born Julius Germanicus Herod Agrippa Italy Lake Mark Antony world end thought illness claimed god youth
4348,calories,food Latin unit female heat fact average adult Plumpy'nut consume measure peanut pound Uncounted Depending butter bottle comparison radish waist wonderful light diet pump state week active boy figure person crossword clue world beer type read label daily based bodybuilder
5019,caltech,Pasadena university school college olive observatory west Throop Leyan Hale Eventually Rose Bear Solar California Robert Millikan Chris Hirata Hollywood Founded Nobel-winning Coast Propulsion NASA Rubik Cube Walk Telescope Mount Palomar Geeks Bowl institute named physic prankster election figure puzzle
563,calvin coolidge,president Vermont Harding Plymouth july August Notch chief Aug. England Yankee called Mass Boston sworn Asked father political Cal died John Dawes library Quiet nickname veep Massachusetts Told choose trivia office leader american strike hail dandy read inaugural minister replied
2894,calvin klein,designer Obsession fashion Eternity Fragrance Back Future Michael Kelly Rector Antonio Sabato Times Square jean People Brooke Shields billboard assistant bridal gown male unmentionable wore bikini label talked firm Technology High School Institute appeared smell brand Truth Coty Hall Fame
4369,calypso,Cousteau trinidad Odysseus Jacques year Caribbean Ogygia Prior Louis Farrakhan Singapore John Denver Reggae Jamaica Banana Boat Song music folk ship nymph style Day-O Belafonte mythology january popular guess saturn atlas king loved job minister belonging sank shipyard form originated
369,cambodia,country Khmer Angkor Sihanouk Norodom Thailand Vietnam Prince flag Asian world king Phnom Rouge history Laos gulf Fields Penh temple September Southeast Battambang Kent Empire Mekong Tonle nation Cambodia Ranariddh language deposed troop Republic state Kampuchea Kambu area leader east
425,cambridge,British College university City england Newton Oxford John Trinity King Peterhouse Harvard River founded Churchill student Stephen Boston-area Magdalene Massachusetts school town pepys built famous Charles Isaac Samuel wordsworth alma mater Christ Cavendish Laboratory Prince place Milton people tennyson century
1538,camel,animal Hamill hump rich enter biblical Dorothy spin needle kingdom God Bedouin Kipling easier type skater food gift Bactrian quote made dromedary desert word figure mammal color creature sport named give talk symbol burden Jesus Guinness John Baptist Edgar Murcertach
642,camelot,king musical arthur Loewe Lerner broadway Richard Burton place Tonight court Shining Moment Merlin Lancelot Jan. Dec. Lady Majestic Wanting Goodness River Welsh Audio Moss Hart John Cullum Northern Exposure Theatre World Fair legendary evil table month Future Leave Morgan
2196,camels,Morocco Kenya animal library Army American Southwest desert city flagstaff make place Genesis Congress Bedouins biblical water mammal humped unique transported history Evidence North Pharaoh Abraham Llamas Arabs Assyrian Beale Jefferson Davis Egypt Hope Road Agadir Blue Lord ungulate creature
2705,camp david,Maryland presidential retreat Begin Sadat September Mountain Carter Catoctin Park Deal Civilian Conservation Corps Jimmy camp talk site century peace acquired Shangri-La held conference called luck northern summit meeting invited acted john paul pope free government area Thurmont Horizon Harbor
1869,campbell's,soup company business industry Good Camden museum Mrs. Paul Week America Healthy Request brand tureen seafood symbol Swanson owned Prego sauce stock maker Jersey sold billionth introduced operates antique finger fish sampler frozen product distribute nationally bowl ladle survey called
8,canada,country North American world island Lake British largest Minister National Prime park Flag John history Baffin July mile Victoria Queen area Jean award geography Trudeau University dominion MacKenzie howdy velvet Icefield Ellesmere named border leader Mulroney Chretien Western river native
1496,canberra,capital Australian Griffin city Burley world Aboriginal National Tower Aussie Lake Telecom Black Mountain meeting geography Gallery Memorial Melbourne largest inland American Molonglo River Library Chicago BARN RACE Settled territory architect landmark park parliament divided section atop replaced winning contest
576,cancer,sign zodiac disease crab July astrology constellation June born oncogene medicine star Hercules crustacean presidential Gemini pinched represents Latin Greek Gerald Ford John Quincy Adams Kevin Bacon Aries Taurus pulitzer Emperor Maladies Biography Arabic named people shell faintest line winner
3832,candice bergen,Brown Murphy Knock Wood Charlie Late star actress Series autobiography French Louis Malle Show Snyder Sprint Comedy Emmys dummy celebrity Shirley Schmidt Edgar debuted titled running give daughter secret brother room bigger collect kind McCarthy memorabilia cuff link toy salt
2114,candide,Voltaire title Pangloss character work french Optimism baron Cunegonde book literature Worlds Happy tutor Songs Westphalia dance castle musical make-up love escape Lisbon Weidman South America Dorado Unlike Dead Samuel Johnson Eternally earthquake show dictionary year arrives created based full-length
2969,candles,chandler item kwanzaa Waxhouse Scentmasters make castle stored beeswax Scent Prue Crossbows Sticks Goya Middle Ages Britney Beyonce making tallow hold fire sell vanilla dictionary menorah home back wick type merchant craftsman living hint heloise push birthday marshmallow drip occupation
1783,cannes,French film festival city Riviera Palme award Intentions Golden Jeanne Moreau Promenade Croisette Napoule world Beverly Hills d'Or Gulf held Mont Chevalier prize sister movie capital Nice Strolling winner event talk actress presided jury famous annual catch Sacre Bleu Godzilla
1021,canterbury,archbishop English Augustine city cathedral Kent church monk Thomas York place british resting Joseph Conrad Gothic Chaucer Hippo final history Prince Benedictine Becket tomb pilgrimage saint Henry Southwark town named tale medieval europe king religion buried cemetery inside capital inn
2674,canton,Ohio city Guangzhou football Hall Chinese Fame site McKinley Swiss Goats called home historic memorial National town lady southern port geography flag word Eugene Pinyin Debs Yangcheng William Check Stark County Ladies English Museum totally reminds chosen origin arrested speaking
4619,cap'n crunch,Cereal breakfast Guppy mascot Peanut Butter Crunch Quaker Oats Climb created food captain Horatio Magellan box introduced eyebrow shown drink nautical represents aboard character middle naval commander Ahoy Utah website brand namesake potpourri symbol spokesman skipper play scrambled word game
3069,cape canaveral,cape Florida Kennedy Center site college satellite Space December March Fla Explorer Institute Technology Countdown Vanguard promontory island orbit launch named John Merritt geographic intermediate began shuttle range ballistic missile fired university proximity barrier senor scientist public history liftoff patrick
1541,cape cod,Massachusetts cape Provincetown Pilgrims Vineyard peninsula Sound geography Popular Quaint landed Martha Harbor Mass Thoreau Heights Mayflower Barnstable Hyannis village hook-shaped explorer vacation spot resort mentioned title dune salty separate southernmost part include anchor bared fishy story travel made Plymouth
2378,cape horn,South America cape Schouten Willem Dutch point southernmost Fuego Chilean Tierra named explorer archipelago rounded Drake Passage Antarctica sailor home foot town Hoorn Holland Captain Cook rise dangerous history height early hometown continent closer extremity rocky difficulty mile bottom lost
1988,cape town,South African city capital Cape Island Prison nelson district mile Mother Good Hope Kaapstad Robben port Europeans founded town Dutch legislative mandela world year April geography nation million overlook called East India Province Groote Schuur Riebeeck Table Mountain Maritime Museum
2419,capillaries,blood vessel tiny body smallest artery cell human vein pas connect time carry anatomy hair biology marshall heart link single file strand tube tissue skin Visible Lips Hall Cynthia Nixon Latin Arterioles stretch blood-carrying transport give oxygenated remove one-eighth thickness
1234,capricorn,Zodiac Sign goat tropic astrology born constellation Equator Cancer Neptune Aquarius horned Year south Billy degree earth hircine goatlike star baby discovered today Johann December Hitchcock Sissy Spacek Christmas Admiral George Dewey Galle Zeus Kris Kristofferson January Saturn Hemisphere continental
3429,captain,rank Navy Korwatch merchant ship woman French Lynn smith Kangaroo Horatio military opportune dining fancy restaurant mess hall waiter order career marine commonly believed held trip fearful title Lincoln Persuasion Wentworth Anne Royal Kirk Kidd Hungary Transylvania Iskra Musical Beefheart
4268,captain ahab,character give Thou starbuck captain created whale Pequod John Barrymore Beast Moby Dick word spear literary thee classic artificial line skipper damned fictional made polished bone silent screen played role talking openly spoke quest quote offer gold whomever raise white-headed
4632,captain america,Avenger Steve Rogers comic book hero Prior Hulk Hitler patriotic issue Marvel captain film Bucky Barnes cover entertainment great super movie stanley secret identity shield-sporting history punch alias volunteering experimental research line character smash subtitle song Star-Spangled March World soldier
2944,captain cook,English captain British explorer Resolution tattoo Tahiti Bligh William Valentine January served ship Pacific Hawaiian introduced word record expedition madeira history chief people killed Endeavor teen wrote journal native Ironically Apprenticed Antarctic Circle Europeans Zealand Joseph Banks Marquesans Passage deg
4761,captain hook,captain Smee Peter villain Barrie pirate literary crocodile disney James Hans Conried Johnny Corkscrew Tinker Bell Talking Pan Steven Spielberg Undoubtedly character sidekick created early melt give film fierce afraid good reason voiced classic cutlas speak flesh destroy feel wrath
2384,captain james cook,Barrier Pacific captain Great Reef Zealand Hawaii explorer Discovery William Australia Endeavour ship British world Bligh century George Vancouver south Kealakekua sailed spent murder skirmish voyage theft boat landing historic landmark navigator Dutch Aborigines killed Quebec named museum born died
3617,captain kidd,pirate Born booty Island hospital hanged London treasure Gardiners Scotland July america captain British Greenwich Narrangansett Gold recovered part Boston century murder captured buried historic count spring kicked shake endowment visited quick bios high sea poe-pourri trial Long year Thames
3991,captain nemo,Leagues Nautilus Verne Captain Jules Thousand Twenty Mysterious Sea Mason Island submarine literature buried Indian Dakkar fiction skipper character movie seafarer played slightly screwy commander prince named classic evil ship maelstrom tale enigmatic reclusive designer master navigator french shipping disappears
1204,caracas,capital Venezuelan Simon Bolivar world city south Caribbean Guaira american port place National Santiago Caracas Born house Brasilia center birthplace population people northernmost Putting AAACCRS Danish West Indies Camille Pissarro Pantheon Casona Sparked Roman Catholic Bigger Caraquenos Liberator Mount Avila
275,carbon,element organic diamond form chemistry science mass Coal make atom periodic table compound graphite life Latin human consist general pressure unit iron plant physic earth named isotope definition found substance produced molecule Rep Anthracite Lampblack Modern Trek Lance Armstrong Rock
310,carbon dioxide,science atmosphere Venus greenhouse Joseph soda green oxygen plant form effect bubble chemistry produce make diamond Baking Mars Black Common earth water release called heat burn presence fizz rise absorb exhale time discovered Rocks Blood Environmental breathe Recent tbsp century
4232,carbon monoxide,French carbon produced poisoning engine gas lighter scientist found body oxygen prevent compound auto exhaust tissue Legacy Alert type make device home Thelma Todd Illuminating Nest city smell dizzy pollutant recall actress inhaling incomplete combustion credit hemoglobin supplying propane infrared
4164,cardiff,Welsh capital world Wales Coal Metropolis city Home largest Fort Bristol Channel Atlantic Norman Taff Folk Museum National Opera Aberystwyth Built Oscar Llanelli Pontypridd Central giant geography end british step beat hidden kid election scarcely border grew fortress greatest coal-exporting
2852,cardinal,bird number Archbishop John Stanford color nickname state religious rank hold position animal mark king opposed prime importance Louis achieve college singular York American Jewish Lustiger Paris Catholic Roger Mahoney Angeles Fridays Aeneas Williams Illinois CLAN RAID Pope Anne Austria
3270,cardinals,Pope Catholic Nicholas John world XXIII named official Eminence bird counselor College rank Church history avoid elected secular control declared wear hat March addressed title high-ranking bishop team scarlet Series Louis Roman Prior Numbers robe Paul Yankees bright plumage resembles
2916,caribbean sea,Cayman Yucatan Colombian Venezuelan Trench belize body water Gulf Saba Sylvia peninsula City island divided Entrances Channel Panama Nicaragua Grenada Barthelemy Norman Jamaica Montserrat Earle Virgin Central Mosquito American Mediterranean Tobago Guajira Aruba Anguilla geography world basin people sea deepest
2854,carl lewis,long jump Olympic gold sport Track lewis event record Field Mike Powell Athlete college consecutive clark medalist booed break holder title Male Year star american March Summer T-shirts Europe Asia King NCAA Carol snapped unbeaten sprinter 1982-84 asked meter born
1534,carl sagan,Eden Dragons pulitzer astronomer Cosmos Cornell Billions Science space Venus Icarus World Mariner blue prize host human Viking Contact book brain nonfiction bestseller Life Future star presented viewer winner awarded determined high temperature caused greenhouse effect people 1969-1979 editor international
1416,carl sandburg,poet Chicago Lincoln Illinois wrote american Prize Pulitzer Rootabaga Stories Ironically Confederate author biography Daily Laureate People city home boys history painted woman luring farm child adult noted built official Spanish-American school site Gwendolyn Corn Feb. Rock Abraham Part Slabs
2775,carly simon,Vain James Working Girl Oscar song Taylor Anticipation singer heard simon Warren Beatty Mike River Mrs. music Heinz Rumors Nichols Heartburn Dancing Then-husband Time wrote book rock singer-songwriter guitar lucy roll ended ketchup commercial ex-love film movie songstress celebrity child
568,carmen,Bizet opera Jose character Seville Gypsy title girl cigarette death Habanera factory bullring Spanish Escamillo stabbed work fatale soldier ballet heroine Celestine Georges Mercedes femme famous bull ring temptress toreador placido rita French dreaded category Galli-Marie play demise aria bewitched
4555,carnegie hall,Street hall Horowitz Paderewski concert music York made debut Practice Heifetz renamed venue opened trivia Vladimir Tchaikovsky City auditorium acoustic famous West Beatles Jascha Noted Iove Dvorak World Symphony December Elliot Carter Grammys Violinist Isaac Stern Judy Garland cinco mayo
3742,carnival,Mardi Gras thurber festival line cruise Meaning friday caribbean Liberty pre-Lenten Italian Neighborhood Wednesday Copacabana Destiny Broadway VIRAL Janeiro Easter South Twelfth Night Revelers Shrove meat annual end collection cuicas period cast performance rocking day Ships removal transportation world largest
2390,carol burnett,Show variety time carrie comedienne star Conway broadway emmy Carol hollywood tugging Moon supporting actor Garry Long Mahoney Buffalo Princess Winnifred Mattress Mackie Costume Design Movies Verla Grubbs Children Stomach Turns Korman Mrs. Tudball UCLA Sylvester Glee Mama Family Arms
3217,carole king,Natural Woman Gerry Goffin Late Tapestry Feel Beautiful Earth Move Friend side Broadway Roof Mueller Tony album musical year hit singer wrote partner Brill Building Make Jessie king Loco-Motion song songwriter memoir end husband classic history rock hall paired record
4679,carole lombard,Gable Clark married Mrs. actress hitchcock star plane crash Godfrey wife blonde death spouse Awarded WWII Smith Penny Marshall Carole Alice Peters Fort Wayne Indiana William Powell Lawn Howard Hawks trivia actor co-starred biopic medal woman killed comedy celebrity happy
4425,caroline kennedy,Schlossberg Edwin daughter Vice Johnson kennedy Macaroni President famous named Rose woman married born pony rider addition gave Defense Bill menagerie child middle November Pushinka Khrushchev Graceland Elvis Rolling Stone Profiles Courage Time Columbia School Jacqueline Onassis Bouvier Hillary Clinton
2032,carrie,King Stephen prom film Sissy book Spacek horror title high girl Brian school published Irving Betty Buckley Palma starring movie debut Carrie Dreiser made screen telekinetic mother Power travolta Ultra-religious Sister musical based classmate played laugh culture part Frightening Needful
2835,carrie fisher,Postcards Edge Star Wars Reynolds Debbie actress celebrity book Awful Wishful Drinking Princess Fisher life wrote Hutt Mark Hamill Wicked West Todd Delusions Grandma American Comedy Broadway Irene Paul Simon Suzanne Vale Leia Holiday Special Diarist Harrison Ford Joely Growing
